id,公園名,駐車場名,親施設ID,親施設名称,経度,緯度,電話番号,ＦＡＸ番号,メールアドレス,"開所時間（Mo,Tu,We,Th,Fr)","開所時間（Sa,Su)",料金,料金,利用交通機関,収容台数（普通車）,収容台数（大型）,備考:管理者,備考,リンク,更新日
D7001,富岡西公園,,P7009,富岡西公園,139.621626,35.362888,045-309-2228,,,24時間,24時間,2時間300円以降20分50円,,,32,,（財）横浜市緑の協会,,http://park.hama-midorinokyokai.or.jp/parking-details/tomiokanishi-parking,2013-04-01
D7002,野島公園,第１駐車場,P7007,野島公園,139.63475,35.32905,045-784-5267,,,7:00〜23:00,7:00〜23:00,1時間200円以降30分100円,,,104,,（財）横浜市緑の協会,,http://www2.nojima-park.org/access/,2013-04-01
D7003,野島公園,第２駐車場,P7007,野島公園,139.633681,35.329709,045-784-5267,,,7:00〜23:00,7:00〜23:00,1時間200円以降30分100円,,,52,,（財）横浜市緑の協会,,http://www2.nojima-park.org/access/,2013-04-01
D7004,野島公園,室の木臨時,P7007,野島公園,139.630393,35.325543,045-784-5267,,,8:00〜16:30,8:00〜16:30,1日1回600円,,,170,,（財）横浜市緑の協会,営業は４〜９月の土・日・祝祭日,http://www2.nojima-park.org/access/,2013-04-01
D7005,長浜公園,,P7008,長浜公園,139.635235,35.364704,045-701-3450,,,24時間,24時間,2時間300円以降20分50円,,,75,,（財）横浜市臨海環境保全事業団,,http://park.hama-midorinokyokai.or.jp/park/nagahama-park/facilities/,2013-04-01
D7006,金沢自然公園,正面口,P7003,金沢自然公園,139.606726,35.351279,045-783-6812,,,9:00〜17:00,9:00〜17:00,1日1回600円,"バス1日1回1,800円",,430,9,（財）横浜市緑の協会,,http://park.hama-midorinokyokai.or.jp/parking-details/kanazawa2-parking,2013-04-01
D7007,金沢自然公園,高速側,P7003,金沢自然公園,139.603116,35.35454,045-783-6812,,,9:00〜17:00,9:00〜17:00,1日1回600円,"バス1日1回1,800円",,750,25,（財）横浜市緑の協会,,http://park.hama-midorinokyokai.or.jp/parking-details/kanazawa1-parking,2013-04-01
D7008,海の公園,柴口,P7005,海の公園,139.638278,35.343117,045-701-3450,,,4:00〜22:00,4:00〜22:00,"1時間毎300円、4時間を超え12時間以内1,500円、12時間を超えたときは1時間毎300円を加算","バス 1時間毎1,000円、2時間を超えたときは3,000円、2時間を越え当日中は上限料金3,000円
",,1053,11,（財）横浜市臨海環境保全事業団,身障者用あり,http://www2.umino-kouen.net/facilities/parking/,2013-04-01
D7009,海の公園,磯浜,P7005,海の公園,139.632443,35.335241,045-701-3450,,,4:00〜22:00,4:00〜22:00,"1時間毎300円、4時間を超え12時間以内1,500円、12時間を超えたときは1,500円に1時間毎300円を加算",,,362,,（財）横浜市臨海環境保全事業団,身障者用あり,http://www2.umino-kouen.net/facilities/parking/,2013-04-01
D7010,海の公園,臨時,P7005,海の公園,139.63492,35.341302,045-701-3450,,,"8:00〜21:00
混雑時のみ",8:00〜21:00,"1時間毎300円、4時間を超え12時間以内1,500円、12時間を超えたときは1,500円に1時間毎300円を加算",,,262,,（財）横浜市臨海環境保全事業団,混雑時のみ,http://www2.umino-kouen.net/facilities/parking/,2013-04-01
